"ID" "latitud" "longitud" "altitud" "prec" "evap" "tmax" "tmin" "easting" "northing"
15185 20.12694444 -99.74055556 2493 0 2.87 21 5 422594.650396809 2225701.21989132
15187 20.05444444 -99.69027778 2640 0 2.75 21 5 427816.849058863 2217655.25787335
15195 18.78111111 -100.4363889 944 0 1.9 30 17 348610.988555301 2077219.20690905
15201 19.42805556 -99.6125 2583 0 NA 24 3 435700.113660022 2148306.27794748
15238 19.51472222 -99.72861111 2618 0 NA 26 -6 423551.020070467 2157944.30787324
15251 19.7975 -99.87444444 2574 0 4.19 21 4 408409.380587846 2189309.64806808
15256 18.99083333 -99.42083333 2310 0 2 25 7 455704.596505503 2099866.11779001
15266 19.24833333 -99.57555556 2762 0 3.09 24 2 439512.467992546 2128405.51355235
15273 20.03861111 -99.86444444 2600 0 4.18 19 4 409594.018715421 2215987.72315625
15282 19.34083333 -99.79833333 2682 0 3 22.5 -0.5 416145.926224171 2138734.09084523
15293 19.2375 -99.76416667 2905 0 NA 20 2 419684.458905145 2127283.11802281
15301 18.93055556 -99.93388889 2383 0 2.42 23.5 10.5 401664.130787425 2093403.61763875
15324 18.79583333 -99.4675 2311 0 NA 34 14 450735.539951465 2078301.86612446
15367 19.28527778 -99.65277778 2668 0 NA 20 8.7 431411.972287885 2132522.34330738
15371 18.92861111 -99.72861111 2453 0 3.1 23 8 423279.471733974 2093086.70715513
15372 19.56888889 -99.76694444 2540 0 2.78 26 0.5 419555.580994449 2163956.04203471
15383 19.47222222 -98.99166667 2234 1 4.56 24.5 7 500874.57828315 2153079.16114075
17001 18.93666667 -98.92805556 1600 0 NA 27 13.5 507575.006305014 2093821.32590248
17003 18.80416667 -98.95083333 1303 0 NA 29 15 505180.810780142 2079159.87088352
17004 18.91861111 -99.23416667 1510 0 NA 27.5 13 475341.970798479 2091838.32747038
17005 18.81027778 -98.95083333 1302 0 NA 30 13 505180.623721788 2079836.03790514
17007 18.61 -99.42444444 942 0 NA 33 15 455223.896514677 2057728.64303853
17008 18.44 -99.025 966 0 10.65 31 12 497360.075776886 2038866.72723904
17010 18.75722222 -99.37277778 1003 0 4.15 33 14 460708.407357543 2074006.07884637
17012 18.90638889 -98.97027778 1380 0 2.9 30 16 503130.00572648 2090469.9043667
17013 18.70583333 -99.09388889 1135 0 NA 35 13 490100.965923927 2068281.6746589
17014 18.85444444 -99.22722222 1283 0 1.59 34 16 476064.118600422 2084737.51471897
17016 18.61111111 -99.25972222 932 0 NA 32 21 472601.313458238 2057818.47101667
17018 18.75916667 -99.12111111 970 0 NA 34.5 12 487234.834917184 2074184.45919607
17021 18.61666667 -98.94361111 1250 0 2.9 20 8.5 505948.383347077 2058414.27186765
17024 18.85444444 -99.02166667 1343 0 4.13 26.5 14 497717.609789737 2084722.31600693
17028 18.69166667 -98.82472222 1350 0 NA 28.5 17 518481.703159792 2066720.67413012
17031 18.58388889 -99.18416667 959 0 9.13 35 15 480568.778875858 2054796.65601451
17036 18.48333333 -98.71666667 1010 0 NA 33 14 529911.730187412 2043684.45411455
17038 18.52 -99.145 800 0 5.57 37 13 484695.527074561 2047724.02861797
17044 18.59861111 -99.36944444 1278 0 4.6 33 10 461023.512653813 2056455.69157878
17046 18.885 -98.69027778 2285 0 2 22 7 532620.685294188 2088131.57204711
17047 19.05833333 -99.27416667 2801 0 NA 25 7 471153.970515624 2107304.46226604
17048 18.87805556 -98.77527778 1941 0 1.68 26 12.5 523669.213743412 2087349.67577287
17051 18.98694444 -98.91972222 1908 0 NA 27.5 13.5 508449.888612015 2099384.80987721
17058 18.86027778 -99.32638889 1487 0 NA 32 14.5 465618.885894831 2085399.26911786
17060 18.93111111 -98.68972222 2769 0 2.15 24 11.5 532670.245132611 2093233.77605203
17061 18.68 -99.46361111 1152 2.8 5.15 31.5 14 451112.037170048 2065484.11611297
17067 18.89222222 -99.23333333 1372 0 NA 25 15.3 475425.870109073 2088918.34944263
17068 18.94722222 -98.82916667 2117 0 5.16 26.5 11.5 517985.871859132 2094996.42976847
17072 18.735 -99.26583333 1025 0 4.57 29 12 471976.997411899 2071527.08471979
17073 18.70027778 -99.38444444 986 0 4.05 34 13 459465.126653464 2067707.9852616
17074 18.5775 -99.18055556 907 0 4.69 33 16 480949.074302401 2054089.38185201
17077 18.685 -99.24388889 1030 0 3.14 32 13 474282.743211751 2065991.52200941
17081 18.73 -98.7625 1519.3 0 NA 31 17 525036.94718146 2070969.64402737
21002 18.22777778 -97.57805556 2053 0 4 25 10 650348.815405687 2015969.93978092
21003 18.3 -98.05 1180 0 NA 30 15 600401.77631099 2023638.2651791
21005 18.99388889 -97.80555556 2197 5 NA 28 6 625726.963600108 2100577.84439183
21007 18.86944444 -97.91972222 2026 0 NA 29 11 613792.867112515 2086728.83843908
